R0000100,R0536300,R0536401,R0536402,R1235800,T8122500,R1482600,S3659000,S3681000,S3697000,S3713000,S3729000,S3757000,S5041700,S6783100,S8689700,T1109400,T3186900,T4597800,T6231000,T7732100,T9133500
PUBID_1997,KEY!SEX_1997,KEY!BDATE_M_1997,KEY!BDATE_Y_1997,CV_SAMPLE_TYPE_1997,VERSION_R16_2013,KEY!RACE_ETHNICITY_1997,YEMP_OCCODE_2002_01_1997,YEMP_OCCODE_2002_01_1998,YEMP_OCCODE_2002_01_1999,YEMP_OCCODE_2002_01_2000,YEMP_OCCODE_2002_01_2001,YEMP_OCCODE_2002_01_2003,YEMP_OCCODE_2002_01_2004,YEMP_OCCODE_2002_01_2005,YEMP_OCCODE_2002_01_2006,YEMP_OCCODE_2002_01_2007,YEMP_OCCODE_2002_01_2008,YEMP_OCCODE_2002_01_2009,YEMP_OCCODE_2002_01_2010,YEMP_OCCODE_2002_01_2011,YEMP_OCCODE_2002_01_2013
1578,1,6,1981,1,429,4,-4,9620,4110,2340,5240,4110,4110,520,9130,9130,20,20,20,20,9130
1579,1,1,1983,1,429,1,-4,-4,-4,-4,9620,-5,-4,-5,-5,-5,-3,-3,-4,6730,6730
1580,1,4,1980,1,429,1,9130,9130,-4,7010,-4,-4,4020,-4,6260,4250,8960,8960,-4,9640,9620
1581,1,1,1980,1,-5,4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1582,2,1,1980,1,429,4,4600,4020,5310,5240,4050,9130,9130,-4,5620,4010,4010,310,310,310,4720
1583,1,3,1981,1,429,2,4020,-5,9130,7130,7130,5420,4940,500,500,500,500,500,500,500,500
1584,2,6,1982,1,429,2,4110,-4,-4,4600,2740,2740,4110,3600,-4,3410,-4,3600,3600,3600,5930
1585,2,10,1984,1,429,2,-4,-4,-4,-4,4130,4220,4110,4110,4110,4110,4110,4110,3630,3630,3630
1586,1,3,1983,1,429,2,6600,6420,4720,4720,4720,4720,4720,4720,7200,4320,5000,5000,5000,4810,4810
1587,2,6,1982,1,429,4,-4,-4,4150,2300,3600,3600,3600,5400,2310,3600,3600,3600,3600,3600,3600
1588,2,1,1984,1,429,4,-4,-4,-4,4760,5400,5840,5840,5240,4940,4940,4110,4110,4840,4110,4110
1589,1,9,1981,1,429,2,4130,4760,4020,4720,4720,4720,6760,6760,-5,5300,9620,9620,9620,7950,6260
1590,2,4,1983,1,-5,4,2060,-4,4600,4600,4600,2540,2540,2540,2540,2340,2310,2310,-5,-5,-5
1591,1,10,1982,1,-5,4,-4,-4,4720,5620,-5,-5,-5,-5,-5,-5,-5,-5,-5,4700,-5
1592,2,3,1981,1,429,4,4150,5900,5820,4420,4420,2300,2540,2310,2310,2330,2330,2310,2310,2310,2310
1593,2,2,1983,1,-5,4,-4,8850,5700,4720,4720,2540,2540,2300,4600,4600,-5,-5,-5,4600,-5
1594,2,11,1980,1,429,1,5400,-4,4720,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
1595,2,10,1982,1,429,1,-4,4220,-4,4510,4510,-4,150,150,-4,-4,-4,-4,-4,-4,-4
1596,1,3,1983,1,-5,2,-4,-4,4030,4030,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1597,1,1,1982,1,-5,1,-4,4760,3920,-5,-5,5530,-5,-5,-5,-5,-5,-5,4760,4760,-5
1598,2,8,1980,1,-5,2,4220,-4,4720,4720,-5,4220,-4,4220,5850,5850,5850,5160,4720,4110,-5
1599,2,7,1981,1,-5,2,-4,-5,4020,4010,4010,3600,3600,-5,3600,3600,-5,3600,-5,3600,-5
1600,2,1,1982,1,429,2,-4,4720,-5,4720,4740,4740,4740,4740,5100,5100,5850,5850,5930,4950,4760
1601,2,4,1982,1,429,2,-4,4030,4720,4720,4760,4600,4720,3410,3410,3410,3410,5900,5900,-4,4760
1602,2,12,1984,1,429,2,-4,-4,-4,-4,-4,4600,4130,4130,4150,4150,-4,4600,3650,-4,4110
1603,2,7,1980,1,-5,2,-4,-5,3600,-5,-5,3650,-5,-5,-5,3650,3650,-5,-5,-5,-5
