R0000100,R0536300,R0536401,R0536402,R1235800,T8122500,R1482600,S3659000,S3681000,S3697000,S3713000,S3729000,S3757000,S5041700,S6783100,S8689700,T1109400,T3186900,T4597800,T6231000,T7732100,T9133500
PUBID_1997,KEY!SEX_1997,KEY!BDATE_M_1997,KEY!BDATE_Y_1997,CV_SAMPLE_TYPE_1997,VERSION_R16_2013,KEY!RACE_ETHNICITY_1997,YEMP_OCCODE_2002_01_1997,YEMP_OCCODE_2002_01_1998,YEMP_OCCODE_2002_01_1999,YEMP_OCCODE_2002_01_2000,YEMP_OCCODE_2002_01_2001,YEMP_OCCODE_2002_01_2003,YEMP_OCCODE_2002_01_2004,YEMP_OCCODE_2002_01_2005,YEMP_OCCODE_2002_01_2006,YEMP_OCCODE_2002_01_2007,YEMP_OCCODE_2002_01_2008,YEMP_OCCODE_2002_01_2009,YEMP_OCCODE_2002_01_2010,YEMP_OCCODE_2002_01_2011,YEMP_OCCODE_2002_01_2013
1,2,9,1981,1,429,4,4760,4760,9990,4110,4110,4760,4760,4760,4760,800,800,800,800,800,800
2,1,7,1982,1,429,2,-4,-4,-4,5820,5240,500,7010,7010,-5,-5,3850,3850,3850,3850,3910
3,2,9,1983,1,429,2,-4,-4,2630,4230,4230,4230,5700,-5,-5,-5,-5,5700,-5,5700,5700
4,2,2,1981,1,429,2,-4,5160,5160,120,4760,120,120,5240,5240,5240,4840,4840,4840,5600,4840
5,1,10,1982,1,429,2,-4,-4,6210,4030,-4,-3,-3,6440,3740,3740,3740,3740,3740,3740,3740
6,2,1,1982,1,429,2,-4,-4,-4,4760,4760,4720,2540,2540,2540,2540,2540,2540,2540,2540,2300
7,1,4,1983,1,-5,2,-4,-4,-4,-4,5620,-5,-5,9610,9620,-5,-5,3920,3920,-4,-5
8,2,6,1981,1,-5,4,4060,4060,4060,4060,5400,4150,2140,2340,2340,2340,-5,710,-5,4710,-5
9,1,10,1982,1,429,4,-4,-4,-4,-4,4110,9750,9750,6260,3920,3920,3920,3920,3920,2330,2330
10,1,3,1984,1,-5,4,-4,-4,-4,-4,-4,-4,-4,-4,6260,5700,4760,4760,-5,-5,-5
11,2,6,1982,1,429,2,-4,-4,5260,-4,-3,-3,-3,-3,5700,5860,5860,5860,5860,5860,5860
12,1,10,1981,1,429,2,-4,-4,4760,520,520,10,1220,-5,4850,4850,4850,4850,4850,4850,4850
13,1,11,1984,1,429,2,-4,-4,4220,4720,4030,2000,2000,4110,4110,4110,4110,4110,4110,4110,4050
14,1,7,1980,1,-5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5850,-5
15,2,1,1983,1,-5,2,-4,-4,-4,-4,-4,-4,5400,4110,4040,-5,-5,4760,4760,4760,-5
16,1,2,1982,1,429,2,-4,4250,-4,-4,7420,5620,-4,-4,-4,-4,7010,7010,-4,-4,-4
17,2,11,1981,1,-5,2,-4,2000,4720,310,-5,-5,3640,-5,-5,-5,-5,-5,-5,-5,-5
18,1,2,1982,1,429,1,-4,4220,6230,-4,-5,4950,5240,5400,5610,9620,4700,-4,-4,-4,3600
19,1,4,1984,1,-5,1,-4,2020,4600,-4,-4,-4,-4,4220,4760,-5,-5,5620,9620,9620,-5
20,1,12,1980,1,-5,1,-4,4110,4130,-4,-5,-4,-4,-5,-5,-5,-5,-5,-4,-5,-5
21,1,8,1982,1,429,2,-4,9130,-4,5860,5860,2020,2140,2140,20,20,20,20,-4,-4,-4
22,1,6,1982,1,429,2,-4,-4,4220,-4,3920,3920,3920,-5,-5,3730,-5,-5,3730,-4,3730
23,2,1,1983,1,429,2,-4,-4,4720,4720,5620,-4,4700,5840,5840,50,5840,5840,50,5840,5840
24,1,6,1984,1,429,2,-4,-4,-4,-4,-4,4250,4220,9130,9620,9130,-4,-4,-4,-4,9620
25,2,3,1983,1,429,2,-4,-4,9130,-4,4720,-4,-4,-4,4220,4220,4220,-4,-4,5820,5820
26,1,10,1980,1,429,1,-4,4940,4760,4760,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
27,1,5,1981,1,429,1,-4,-5,5620,9620,9620,6420,6420,7800,7800,7800,7800,7800,-4,4140,7800
28,2,11,1983,1,429,1,-4,-4,-4,-4,-4,-4,4640,4130,2310,2310,2310,2310,2310,2310,2010
29,2,1,1983,1,-5,4,-4,5810,5810,5810,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
30,1,6,1981,1,-5,4,4350,310,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
31,1,7,1982,1,429,4,-4,4720,4720,1110,-4,2200,220,1360,1360,600,600,600,600,600,430
32,2,7,1981,1,429,4,4720,4760,5200,-5,5200,-4,4760,-5,-5,-5,620,110,110,110,110
33,2,12,1980,1,429,4,4220,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720,2720
34,2,12,1984,1,429,4,-4,-4,-4,4600,5700,2540,5810,5810,5810,4110,4110,4150,-4,4920,4830
35,1,1,1983,1,429,4,-4,-4,-4,-4,2540,5810,4720,2540,2540,1100,1100,1100,1100,1100,1100
36,2,8,1980,1,429,4,2440,4110,5400,-4,5400,3640,3640,-4,-4,-4,-4,-4,-4,4050,2010
37,2,11,1980,1,429,4,-4,-4,-4,-4,-4,5400,2000,2000,4550,4550,4550,4550,4550,4550,4550
38,2,9,1981,1,429,4,-4,-4,-4,-4,-4,430,2000,2300,2300,2300,2000,4550,4550,4550,4550
39,1,2,1980,1,429,2,-4,5400,5400,4760,4760,4760,4760,4760,-4,2340,2340,2340,-5,2340,2340
40,2,5,1984,1,-5,4,-4,-4,2540,2540,3600,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5
41,2,1,1983,1,429,4,-4,5860,4760,4760,4760,4720,-4,4110,4110,4110,2140,4110,4110,4110,4850
42,1,8,1983,1,-5,4,-4,5310,5510,4030,4030,4030,4030,4030,4130,4130,5160,-4,-4,-5,-5
43,2,10,1981,1,429,1,-4,4760,4760,4720,-5,7750,4760,4720,6260,5620,4720,4720,7750,7750,-4
44,1,12,1981,1,429,2,-4,-4,-4,6260,-4,5620,9620,9620,9620,9620,9620,-4,-4,-4,-4
45,2,2,1984,1,429,1,-4,-4,-4,-4,5400,5400,3600,3600,3600,3600,3600,3600,3600,-4,3600
46,1,2,1984,1,429,1,-4,-4,4220,4220,4220,-4,3920,-5,-5,-5,3920,-5,-5,-4,5620
47,2,9,1982,1,429,1,-4,8740,-4,4720,-4,4720,4940,4940,4720,8960,5810,5810,5810,5810,3600
48,2,7,1983,1,429,1,-4,4220,4720,4720,5240,4050,4050,3850,3850,3850,5400,2010,2010,2010,2010
49,2,12,1982,1,429,1,-4,-4,-4,4840,4840,3410,3410,3410,3410,3410,3410,3410,3410,3410,3410
50,2,2,1983,1,429,1,-4,-4,4600,4600,4510,4720,4720,4760,5900,5900,5900,5260,5260,5260,2000
51,1,6,1980,1,429,1,-4,-4,4030,4030,4760,4700,4700,4700,4700,3920,3920,3920,3920,3920,3920
52,1,12,1983,1,429,1,-4,-4,-4,-4,-4,520,3920,3920,4760,2900,4530,4530,4530,5410,5410
53,2,4,1984,1,429,1,-4,4600,5260,-4,-4,2300,3920,3920,3920,3920,3920,3920,3920,3920,3920
54,2,12,1984,1,429,1,-4,-4,-4,4110,4720,4720,2340,2340,2340,2340,2340,2340,3650,3650,3650
55,2,2,1981,1,429,2,-4,4620,-4,-4,-4,4600,-4,4760,4760,3920,3920,3920,3920,3920,3920
56,2,2,1982,1,429,4,-4,-4,2000,2000,4610,2000,3230,3130,2200,3230,3230,3230,3230,3230,3230
57,1,12,1982,1,429,1,-4,-4,-4,5400,4220,4530,4530,-4,3920,3920,3920,3920,3920,3920,3920
58,1,11,1983,1,429,1,-4,-4,2540,-4,4020,-4,3920,3920,3800,-5,3800,3800,3800,3800,3800
59,2,4,1981,1,429,1,2540,5860,3950,420,4600,60,2820,2820,1810,1810,430,940,4950,4540,710
60,1,1,1984,1,-5,4,-4,-4,-4,-4,-4,4420,4420,-4,-4,3920,3920,3920,5510,5700,-5
61,2,5,1983,1,429,1,-4,-4,-4,5240,5240,4700,4700,4700,4430,5240,5240,5240,5240,5240,3600
62,1,3,1980,1,429,1,-4,4760,-4,5620,5620,5400,3540,4760,160,2630,2630,2630,2630,2630,2630
63,2,10,1984,1,429,1,-4,-4,-4,-4,-4,-4,-4,2300,5510,5510,-4,-4,-4,-4,5520
64,1,3,1980,1,-5,1,-4,-4,-4,7200,-3,2000,2000,2000,3920,3920,3920,3920,-5,-5,-5
65,1,4,1984,1,-5,1,-4,-4,5400,-4,4760,4110,3600,3600,3600,3600,3600,3600,3600,3600,-5
66,1,10,1980,1,-5,1,4220,4700,-4,-4,5240,2000,2000,5860,-5,2320,2320,-4,-5,-5,-5
67,1,11,1980,1,429,1,-4,4760,-4,-4,-4,-3,-4,3620,3620,-4,3620,3620,3620,2300,2300
68,1,1,1981,1,429,1,2600,4760,-4,5620,5620,-4,4720,4720,-4,-4,4760,4760,9990,-4,-4
69,2,7,1981,1,-5,1,-4,-4,4720,4640,4640,4760,4760,3240,3240,3240,2010,2010,2010,2010,-5
70,1,8,1982,1,429,1,-4,6320,4760,-4,4760,4820,5860,-4,-4,2630,2630,2630,2630,2630,2630
71,1,1,1980,1,-5,1,4220,-4,-4,-4,-4,-4,3920,3920,3920,3920,5860,5860,5860,5860,-5
72,2,4,1982,1,-5,1,-4,-4,4950,4720,8960,-4,-4,5240,5240,-5,-5,-5,-5,-5,-5
73,1,10,1984,1,-5,1,-4,-4,4600,4940,5620,2430,4220,4220,3850,-5,-5,-5,-5,-5,-5
74,1,7,1983,1,429,4,-4,-4,-4,-4,-4,4430,-5,4430,620,2020,2020,2150,2140,2140,2150
75,1,1,1982,1,429,4,-4,-4,-4,-4,-4,-4,4760,4760,4760,5610,5610,5610,5610,5610,5260
76,1,1,1982,1,-5,4,-4,-4,-4,-4,-4,-3,-3,-3,-3,3850,3850,3850,3850,3850,-5
77,2,11,1984,1,-5,2,-4,-4,-4,-4,-4,4600,2010,2010,-4,-5,-4,-5,-5,-5,-5
78,2,7,1981,1,429,4,-4,-4,-4,4620,4620,4600,4760,-4,5850,-4,5700,5700,5700,4720,5600
79,1,12,1983,1,429,2,-4,-4,-4,4220,5860,-4,-4,-4,-4,4000,5610,5610,8300,8300,9620
80,1,6,1981,1,429,1,-4,4720,4720,4220,-4,-4,4940,-4,-4,6520,-4,-4,-4,-4,-4
81,2,1,1984,1,429,1,-4,-4,-4,-4,-4,2000,-4,5820,-4,-4,2000,2000,4600,4600,4720
82,1,7,1984,1,429,2,-4,-4,5860,4030,4030,-4,-5,-4,3920,3920,3920,5620,7340,7340,7020
83,1,9,1981,1,429,2,-4,7800,4720,-4,9130,-4,230,230,230,230,230,230,230,230,230
84,2,2,1984,1,429,2,-4,4600,9990,-4,4800,-3,-5,-5,-5,-3,-3,-3,-3,-3,-3
85,1,2,1984,1,429,4,-4,4130,-4,-4,-4,7610,6440,6260,6260,6260,6260,9620,6210,6210,4220
86,2,10,1980,1,429,4,-4,4110,4110,4760,4760,4740,4740,-4,2400,710,710,710,710,710,710
87,1,5,1984,1,-5,2,-4,4130,4060,4020,6260,-4,-4,-4,6260,6230,6230,6230,-5,-5,-5
88,1,1,1981,1,429,4,-4,-4,6220,6220,6200,6220,-5,-5,-5,-5,-5,-5,-5,6220,6220
89,1,11,1981,1,429,4,-4,6510,-4,2760,4050,4050,2310,2540,2540,2320,2320,2320,2320,2320,2320
90,1,11,1981,1,429,2,-4,-4,5620,5620,5620,5620,3410,3410,3410,3410,3410,3410,3410,3410,3410
91,2,9,1982,1,429,2,-4,-4,-4,-4,4010,-4,-4,-4,-4,1040,1040,1040,1100,1110,1100
92,1,4,1983,1,429,4,-4,-4,-4,-4,-4,5620,5620,-4,-4,-4,-4,-4,2440,-4,-4
93,1,9,1983,1,-5,2,-4,-4,-4,-4,4020,-5,-4,-4,-3,6600,8960,8960,8960,8960,-5
94,2,9,1980,1,429,1,2000,4720,5000,5810,5810,560,560,560,560,560,5000,5000,5000,5000,5000
95,1,7,1982,1,-5,2,-4,-5,-5,-5,-5,-5,6230,-5,6230,220,-5,-5,-5,-5,-5
96,1,7,1982,1,-5,4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,3400,-5,-5,-5,-5
97,1,6,1980,1,429,2,-4,-4,5810,5810,-4,5120,5120,5120,5120,5120,5120,5120,5120,5120,5120
98,1,1,1980,1,-5,4,-4,-4,-5,-3,-3,-3,-5,-3,-5,-5,-5,-3,-3,-3,-5
99,1,6,1982,1,-5,2,-4,4130,2540,2540,2540,4250,-4,-5,-5,-5,-5,-5,-5,-5,-5
100,2,1,1981,1,429,1,-4,4760,4060,4720,4720,5620,5620,5620,5300,5120,5120,5120,5120,4530,5300
101,2,7,1981,1,429,1,-4,-4,4760,4720,4760,4760,4760,4760,4760,4720,-4,4510,5620,5620,5620
102,2,4,1982,1,-5,2,4600,4600,4600,4760,4760,-5,-5,-5,-5,4760,-5,-5,-5,4760,-5
103,2,11,1983,1,-5,2,-4,-4,-4,-4,4760,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
104,2,11,1980,1,429,4,5620,5620,5620,4720,4720,5010,5400,5360,5300,5000,120,120,5010,4710,5140
105,1,8,1983,1,429,4,-4,5620,5620,5620,5620,5620,4760,4760,9720,9720,9720,9720,9720,9720,9720
106,1,11,1981,1,-5,4,5620,5620,9130,9130,-5,-5,-5,-5,-5,-5,1000,-5,-5,-5,-5
107,2,8,1982,1,429,4,-4,4760,4760,4760,5400,5400,2340,4850,4850,50,430,430,430,50,50
108,1,9,1984,1,429,4,-4,-4,-4,-4,6260,-4,-4,-4,4920,40,40,60,60,60,5240
109,2,3,1982,1,429,4,-4,-4,4150,4150,5820,5240,4800,4800,4800,4800,4800,4800,4800,4800,4800
110,2,2,1984,1,429,4,-4,-4,4720,4720,4720,4720,4720,4720,4720,4720,2310,2310,2310,2310,2310
111,2,1,1981,1,429,4,5400,4220,2060,4940,4940,4940,4810,120,120,120,120,9990,9990,9990,-4
112,2,4,1984,1,-5,4,-4,-4,-4,4110,4110,4110,4060,2540,2010,-5,-5,-5,-5,-5,-5
113,1,4,1984,1,429,4,-4,-4,-4,4110,4110,4030,4030,310,4700,9620,9620,9620,5310,1000,1000
114,2,7,1982,1,429,4,5400,4720,4720,4700,4700,4600,5810,5810,9130,4020,4020,4020,4000,4000,4000
115,2,10,1984,1,-5,2,-4,-4,-4,4510,4220,4540,-5,-5,-5,-5,4510,-5,-5,4510,-5
116,1,10,1984,1,429,1,-4,4720,4720,-5,-5,4760,9600,7200,7200,7420,5620,5620,5620,5620,9600
117,1,10,1984,1,429,1,-4,9620,9620,-5,-5,9620,7260,3920,3920,5620,5620,9620,9620,9620,9620
118,1,6,1980,1,-5,4,4620,-5,-5,4430,4430,4430,2830,2830,2920,2920,2920,-5,-5,-5,-5
119,1,9,1982,1,429,4,-4,-5,-5,-5,3950,-5,-5,-5,-5,5000,-5,5000,-5,-5,5000
120,1,6,1982,1,429,4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2320
121,1,12,1981,1,429,4,-4,4720,4720,4720,4760,4720,4720,-5,-5,-5,4720,-5,-5,-5,8960
122,1,6,1984,1,429,4,-4,-4,-4,4720,6420,4600,4620,-4,4250,4250,4250,2310,2310,2310,2310
123,1,2,1980,1,-5,4,2720,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,1,2,1982,1,-5,4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
125,2,5,1984,1,-5,4,-4,-5,4130,-5,-5,-5,4800,4800,-5,-5,-5,-5,-5,-5,-5
126,1,5,1981,1,429,4,-4,4220,7130,8220,8220,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
127,2,3,1982,1,429,4,-4,2340,2340,4620,4620,4940,2000,2000,2000,230,230,230,230,-5,2300
128,2,8,1982,1,429,4,-4,4720,4720,4760,5700,5700,5700,430,430,-5,4850,4850,5600,4700,5600
129,2,8,1980,1,-5,4,5820,-4,-4,4110,4110,50,50,-5,-5,-5,-5,-5,-5,-5,-5
130,2,7,1981,1,-5,4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,2630,-5,-5,-5,-5
131,1,10,1980,1,-5,4,-4,5810,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,1,2,1983,1,-5,4,-4,-4,4620,4620,5620,-5,-5,-4,3030,3030,3030,3030,3030,3030,-5
133,1,7,1982,1,429,4,-4,-5,2720,-5,-4,840,-5,-5,-5,940,930,930,800,800,800
134,1,4,1984,1,-5,4,-4,4600,4600,4600,4600,4050,5160,5160,-5,-5,-5,-5,-5,-5,-5
135,1,4,1981,1,-5,4,-4,4720,-5,4720,2340,7010,7010,50,50,7700,7700,7700,7700,7700,-5
136,2,9,1983,1,-5,4,-4,-5,4620,4720,4620,-5,5400,2020,2020,2020,420,-5,-5,-5,-5
137,2,5,1980,1,429,4,4030,5120,-4,430,4110,-4,4600,4600,4600,4600,4600,4600,4600,4600,4600
138,1,4,1984,1,429,4,-4,-4,-4,5240,5240,4720,-4,7810,5310,4760,4760,4760,-4,4930,1100
139,2,7,1984,1,-5,4,-4,-4,-4,8350,2710,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
140,1,12,1983,1,-5,2,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,4020,-5,-5,-5,-5
141,2,1,1980,1,-5,4,4720,-5,2540,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
142,2,1,1981,1,429,4,5260,4760,4050,4050,4050,-5,-5,5700,-5,5240,-5,5240,5240,5240,5240
143,1,8,1981,1,429,1,-4,-4,4760,3920,3920,3920,-5,9840,9840,-5,9840,9840,9840,9840,9840
144,1,8,1982,1,429,1,-4,-4,4720,5620,5610,3920,4720,4720,9610,7420,7420,7020,9620,9620,9620
145,1,4,1984,1,429,1,-4,-4,-4,9620,5120,5120,5120,5120,4760,2900,2900,2900,2900,2900,2900
146,1,7,1984,1,429,1,-4,9640,-4,-4,4050,5620,5620,3600,3600,3600,3600,3600,3600,3600,3600
147,2,2,1984,1,429,4,-4,-4,-4,-4,-4,-4,-4,-4,5120,5120,4840,4840,4840,-4,-4
148,2,10,1982,1,429,1,-4,4720,4720,9610,4760,4110,4110,4110,4720,4010,4010,4010,4010,-4,3600
149,2,4,1983,1,429,1,-4,4600,4030,5400,4020,9620,9620,3920,2340,2340,-4,5620,-4,-4,-4
150,1,2,1984,1,429,1,-4,-4,-4,4140,5620,6260,5620,9620,2020,9620,4960,8240,2020,2020,620
151,2,1,1982,1,429,1,-4,4760,4760,5400,-5,4510,4510,4510,5700,5700,4510,4510,4510,2700,4040
152,1,5,1982,1,429,1,4600,4030,4760,4760,-4,-3,-5,2630,2630,2630,2630,2630,2630,5620,4760
153,2,2,1980,1,429,1,5820,-4,5400,4940,-4,2540,2540,2540,-4,-4,-4,-4,-4,-4,-4
154,1,6,1980,1,-5,4,2150,2150,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,1,2,1980,1,429,4,4720,-4,4760,800,7720,4850,4850,840,840,800,800,120,120,120,120
156,1,11,1982,1,429,4,-4,-4,-4,4430,-4,-4,-4,1960,-4,-4,3060,3060,3060,3060,3060
157,2,3,1982,1,429,2,-4,4720,4720,-4,5030,5030,-4,-4,2310,2310,2310,2310,2310,2310,2310
158,1,12,1984,1,429,2,-4,-4,8800,-4,-4,3920,3920,3920,2830,2710,2710,2710,2710,2830,2830
159,2,1,1980,1,429,2,4720,5930,4760,4720,5850,5820,4600,4600,5820,4720,730,5260,5260,5400,4220
160,2,1,1981,1,429,2,5810,5400,4110,-4,5400,4720,4720,-5,5260,-4,5400,2630,2540,2540,2320
161,1,1,1982,1,429,2,-4,4140,4140,-4,-4,-4,-4,-4,-4,-4,-5,-4,-4,-4,-4
162,2,8,1981,1,429,1,-4,-5,-5,5240,2540,4760,5240,5240,5240,5240,1960,1960,1960,1960,1960
163,1,2,1983,1,429,1,-4,-5,-5,4020,-5,-4,-5,-5,-4,-4,-5,-5,-4,-4,-4
164,2,7,1981,1,429,4,4060,4220,4030,4110,5110,5110,5110,5110,5110,5110,5110,5110,5110,5110,5110
165,1,4,1980,1,429,4,4220,-4,5810,-4,2310,710,4810,4810,710,710,710,4710,4710,4710,4710
166,2,9,1982,1,429,4,-4,-4,4720,4720,5700,5700,3650,3650,3650,-4,3130,3130,3130,3130,3130
167,1,11,1984,1,429,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
168,1,1,1981,1,-5,2,-4,4060,-4,9130,3920,-5,4220,4220,7200,7200,7200,5530,5530,5530,-5
169,2,1,1983,1,429,4,-4,-4,-4,2020,2020,5400,5400,4720,4760,5700,5700,-4,-4,4760,5700
170,2,8,1984,1,429,4,-4,-4,-4,2020,4760,420,5700,5700,5240,5240,5240,5240,5240,-4,5350
171,2,7,1984,1,429,2,-4,4220,-4,4060,4060,4720,4720,4700,4700,4700,5700,5700,4700,4700,-4
172,1,7,1983,1,-5,4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
173,2,6,1980,1,-5,4,4030,4030,-5,-5,4700,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,1,4,1983,1,-5,4,-4,-4,-4,-5,4110,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
175,2,10,1981,1,-5,4,-4,4620,5860,5810,5800,5800,-5,-5,2310,2320,2320,-5,-5,-5,-5
176,1,9,1982,1,429,4,2720,4420,4620,4620,2340,2340,5860,4700,4700,4710,860,860,860,-4,-3
177,2,11,1980,1,429,4,5400,5400,5400,4600,4600,2300,2300,2300,2310,2150,2000,2000,2000,2000,2000
178,2,3,1980,1,429,4,4720,-5,5620,-5,-5,-5,2310,2310,2310,2310,-5,2310,2310,2310,2310
179,2,9,1981,1,-5,4,4620,4620,5240,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
180,1,9,1983,1,429,4,-4,4620,4620,-5,-5,4110,1960,1920,1350,1350,-5,1350,1350,1350,430
181,2,11,1982,1,429,4,-4,4620,5820,4760,4760,4110,1550,2310,2310,2310,2310,2310,2310,2340,2340
182,2,5,1984,1,429,4,-4,-4,-4,4760,4760,5700,5700,5920,800,800,800,800,800,800,710
183,2,12,1980,1,429,4,-4,4760,4760,5620,5620,4760,4760,4760,4760,4760,4760,4760,4760,4760,710
184,1,12,1984,1,-5,4,-4,-4,-4,-4,5520,4110,4110,4110,4110,4110,4110,-5,-5,-5,-5
185,1,6,1981,1,429,1,7200,-4,9620,5620,150,4720,4760,9620,5620,4250,-4,4020,4020,-4,4020
186,2,7,1983,1,-5,4,-4,-4,-4,4720,4720,4720,-5,-5,-5,-5,-5,-5,-5,-5,-5
187,1,9,1983,1,429,2,-4,9620,5620,9620,9620,4350,3950,3950,3950,9840,9840,9840,9840,9840,9840
188,2,10,1980,1,429,4,5930,5900,5900,-5,-5,4840,4840,4840,-5,-5,-5,-5,-5,-5,5810
189,2,8,1984,1,-5,4,-4,-4,-4,2720,9610,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
190,1,10,1983,1,429,4,-4,-4,-4,-4,-4,-5,4220,-5,-5,-5,4220,-4,5620,-4,6230
191,1,2,1982,1,429,4,5930,-4,4720,-5,7200,4220,4220,4220,4220,4220,4220,8140,9620,6260,8140
192,2,3,1982,1,429,2,-4,5620,-4,-4,5110,5110,-4,5400,-4,5400,5110,5110,5110,-4,2010
193,2,2,1981,1,429,1,4720,4760,-5,1000,5240,5240,5120,5810,5120,5240,5240,5700,5700,-4,-4
194,2,10,1980,1,429,2,-4,4150,5930,5860,-5,5400,4720,5400,5400,5400,5400,5400,5400,5400,430
195,1,1,1983,1,429,1,-4,-4,4220,-4,5630,5610,5610,-4,5850,4110,4110,4110,4110,4110,4110
196,1,4,1984,1,-5,2,-4,-4,-5,9620,9360,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
197,2,12,1981,1,429,4,4060,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2010,2010
198,2,7,1980,1,429,4,-4,2000,4600,5400,2300,4110,4110,-5,4950,4950,4950,4510,4510,4510,4510
199,1,6,1982,1,429,4,-4,5620,9620,8000,4130,7200,7200,7140,7140,7140,-4,4130,9120,4150,7140
200,1,8,1980,1,429,4,6220,7610,7610,7610,6260,6260,8650,6260,-5,6260,6260,6260,4220,4220,3920
201,2,12,1983,1,429,4,-4,4740,4760,4760,4150,4720,4720,4720,850,4820,4820,4840,4110,4110,800
202,1,1,1982,1,429,4,4950,4130,4420,8220,7200,9350,7200,7200,7200,9130,9130,9130,7200,7200,7200
203,2,1,1984,1,429,4,-4,-4,4110,4720,4720,4720,4760,4760,4760,120,120,120,120,120,120
204,2,5,1981,1,429,4,-4,5700,5400,4110,5400,5240,5240,1960,5000,5000,5700,5700,5700,5700,4960
205,2,11,1983,1,-5,4,-4,-4,-4,4110,4110,4040,4040,4040,4040,4040,4110,-5,-5,4760,-5
206,1,2,1982,1,429,4,-4,4760,5620,9130,4760,4760,4760,7200,7200,7200,-5,7200,7200,7200,7200
207,2,11,1981,1,-5,4,-4,4720,5810,5700,5260,5700,5700,-5,-5,-5,-5,-5,-5,-5,-5
208,2,3,1984,1,429,4,-4,-4,-4,-4,-4,4720,9620,-5,-5,-5,-5,-5,-5,-5,2310
209,1,6,1983,1,-5,2,-4,-4,4720,4060,4760,520,520,9620,-5,-5,-5,-5,-5,-5,-5
210,1,5,1984,1,-5,2,-4,-4,-4,5240,5240,5620,5620,-5,8960,-5,-5,-5,-5,-5,-5
211,2,6,1980,1,429,2,-4,-4,-4,5810,5810,2320,2320,2320,800,800,800,800,800,800,800
212,1,2,1980,1,429,2,-4,9620,9600,9600,4760,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
213,2,4,1982,1,429,2,-4,4720,4720,4760,4600,4760,2540,2310,2310,-4,2310,2310,2310,2340,2340
214,2,11,1982,1,429,2,-4,4760,4760,4760,4760,5810,800,800,800,800,800,800,800,-5,800
215,1,5,1981,1,429,2,-4,4220,9840,9840,9840,9840,9840,9620,9620,9620,9620,9620,9620,9620,9620
216,2,6,1980,1,429,2,4760,4960,8760,8760,4700,3520,5810,5810,5020,5000,5000,5000,5000,5000,3130
217,2,11,1982,1,429,2,-4,4720,-5,4720,4760,4760,-5,8960,8960,4760,4760,-5,-5,4760,-4
218,1,9,1983,1,-5,2,-4,2920,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
219,1,3,1982,1,429,3,8800,4620,5140,5140,5510,2750,2700,2700,4110,4110,4110,4110,4110,4110,2700
220,1,3,1984,1,-5,4,-4,-4,2720,4720,-4,9130,310,-5,-5,-5,-5,-5,-5,-5,-5
221,2,9,1984,1,429,4,-4,-4,-4,4060,-4,7800,7800,7800,7800,160,160,160,160,160,160
222,1,1,1981,1,429,2,-4,4050,4050,5410,5410,5410,5410,4110,5240,5240,5240,5240,5240,5240,5240
223,1,1,1981,1,429,2,5820,4050,4050,5410,5410,5410,5410,4110,5240,5240,5240,5240,5240,-4,-4
224,2,10,1982,1,429,4,-4,-4,4110,5620,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250,8250
225,1,10,1980,1,429,4,4000,4000,4060,7020,7020,7020,7020,7020,7020,1110,1110,1110,1110,1110,1110
226,2,3,1981,1,429,1,-4,4120,4030,4030,4030,4030,4030,9620,9620,9620,-5,4760,4760,4760,5620
