A0002500,R0000100,R0214700,R0214800,R0828000,R0945300,R1255700,R1650500,R1923100,R2317900,R2525700,R2924700,R3127400,R3523100,R3728100,R4193700,R4587901,R5270900,R6473700,R6592900
VERSION_R25_2012,CASEID_1979,SAMPLE_RACE_78SCRN,SAMPLE_SEX_1979,CPSOCC80_1982,CPSOCC80_1983,CPSOCC80_1984,CPSOCC80_1985,CPSOCC80_1986,CPSOCC80_1987,CPSOCC80_1988,CPSOCC80_1989,CPSOCC80_1990,CPSOCC80_1991,CPSOCC80_1992,CPSOCC80_1993,CPSOCC80_1994,CPSOCC80_1996,CPSOCC80_1998,CPSOCC80_01_2000
445,2789,2,2,308,315,363,368,308,368,-5,368,-5,-5,-5,-5,-5,-5,-5,-5
445,2790,2,2,435,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,155,155,274
445,2791,2,1,588,588,869,588,588,869,889,779,779,779,849,777,777,-5,779,779
445,2792,2,2,777,-4,-4,686,686,-4,407,453,453,453,453,453,453,453,453,453
445,2793,2,1,883,496,883,727,889,769,588,496,496,496,588,588,588,588,588,588
445,2794,2,1,888,869,889,453,869,804,883,869,588,779,686,783,759,597,749,749
445,2795,2,2,-4,437,405,479,276,276,437,276,-4,447,-4,458,744,276,436,436
445,2796,2,2,-4,-4,403,453,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2797,2,1,577,567,577,647,576,576,576,577,575,555,577,577,577,577,804,55
445,2798,2,1,453,453,453,453,453,453,453,885,885,885,459,885,885,275,885,885
445,2799,2,1,889,889,496,496,496,549,889,496,-5,-5,-5,-5,-5,-5,-5,-5
445,2800,3,1,186,186,186,73,19,19,228,56,633,19,19,59,59,55,243,13
445,2801,3,1,526,804,6,389,305,7,25,307,7,305,25,344,344,318,19,19
445,2802,3,1,783,869,783,643,643,597,549,597,779,779,777,233,233,777,756,756
445,2803,2,1,889,365,235,883,883,777,699,699,699,883,639,869,869,547,518,518
445,2804,2,2,389,313,319,319,159,308,229,229,229,229,65,304,304,229,73,73
445,2805,2,1,889,889,319,869,378,378,356,535,777,235,533,213,525,213,55,19
445,2806,3,2,274,274,274,207,207,207,274,95,95,207,207,207,95,95,19,95
445,2807,3,1,869,654,727,496,855,777,804,516,804,804,804,804,859,804,494,-5
445,2808,3,2,-4,-4,-4,-4,-4,185,276,276,276,276,276,276,276,276,276,-4
445,2809,3,2,319,313,-4,-4,-4,337,337,337,243,19,277,436,23,153,229,156
445,2810,3,2,736,736,383,383,276,383,383,303,383,383,383,383,315,344,344,-4
445,2811,3,1,597,869,869,-4,785,588,496,496,759,496,486,496,855,855,496,496
445,2812,3,1,567,588,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2813,3,1,223,479,479,475,479,477,475,477,475,475,475,475,475,475,25,25
445,2814,3,2,447,447,95,95,95,95,95,95,95,95,15,15,95,15,15,15
445,2815,3,1,877,877,433,19,243,365,19,243,19,19,243,243,243,263,243,376
445,2816,3,1,-4,-4,889,453,453,748,453,757,308,779,757,757,757,235,159,235
445,2817,3,2,-4,-4,-4,277,277,-4,-4,796,-4,-4,-4,-4,-4,889,-4,276
445,2818,3,2,-4,405,405,276,276,315,276,313,337,313,313,337,337,385,19,37
445,2819,3,2,-4,-4,-4,-4,744,744,674,467,744,749,749,383,383,383,383,-5
445,2820,3,1,848,-5,777,617,889,585,579,496,-5,579,579,869,869,585,585,585
445,2821,3,1,218,585,869,777,363,-5,213,-5,218,218,869,218,218,558,-5,-5
445,2822,1,2,-4,-4,-4,-5,-4,-4,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5
445,2823,3,2,309,308,379,275,435,376,435,435,435,435,435,435,435,434,434,103
445,2824,3,2,276,276,7,784,785,796,785,785,796,785,785,-4,-4,95,95,-5
445,2825,3,2,446,438,527,596,313,796,784,683,796,796,796,379,434,434,434,99
445,2826,3,2,229,308,385,308,308,313,785,274,406,468,-4,-4,276,276,-4,-4
445,2827,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2828,3,2,-4,-4,-4,744,-4,-4,704,243,447,447,468,468,468,19,276,-3
