A0002500,R0000100,R0214700,R0214800,R0828000,R0945300,R1255700,R1650500,R1923100,R2317900,R2525700,R2924700,R3127400,R3523100,R3728100,R4193700,R4587901,R5270900,R6473700,R6592900
VERSION_R25_2012,CASEID_1979,SAMPLE_RACE_78SCRN,SAMPLE_SEX_1979,CPSOCC80_1982,CPSOCC80_1983,CPSOCC80_1984,CPSOCC80_1985,CPSOCC80_1986,CPSOCC80_1987,CPSOCC80_1988,CPSOCC80_1989,CPSOCC80_1990,CPSOCC80_1991,CPSOCC80_1992,CPSOCC80_1993,CPSOCC80_1994,CPSOCC80_1996,CPSOCC80_1998,CPSOCC80_01_2000
445,1,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2,3,2,337,337,23,386,23,23,337,389,23,337,23,337,-4,-4,-4,-4
445,3,3,2,383,-4,-4,383,-4,447,468,155,468,373,188,243,-4,-4,243,19
445,4,3,2,274,-4,-4,-4,313,313,313,313,313,-5,313,313,-5,313,178,-5
445,5,3,1,355,223,223,-5,178,-5,178,178,-5,-5,-5,-5,-5,-5,-5,-5
445,6,3,1,335,389,223,203,203,235,223,223,208,386,203,235,235,83,-5,19
445,7,3,1,514,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,889,364,749,749,749
445,8,3,2,444,444,444,-3,444,319,389,389,389,389,339,389,25,25,234,234
445,9,3,1,885,505,505,505,337,19,19,243,19,503,19,19,503,19,505,505
445,10,3,2,446,405,444,444,-5,-5,447,-5,276,97,446,446,447,-5,-5,-5
445,11,3,1,389,389,19,376,-5,-5,-5,259,274,259,256,257,257,277,259,19
445,12,3,2,23,23,23,7,-5,-5,-5,-5,-5,-5,-5,7,7,-5,-5,-5
445,13,3,1,453,453,558,19,19,19,19,448,19,448,19,448,448,448,19,19
445,14,3,2,406,459,424,313,307,23,337,23,23,23,23,23,877,23,23,23
445,15,3,1,-4,486,588,365,365,366,19,-4,-4,259,274,259,259,259,263,-4
445,16,3,2,313,313,223,313,178,313,313,313,313,313,313,313,313,313,313,313
445,17,3,1,243,19,33,869,869,558,558,567,653,567,567,889,567,567,558,13
445,18,3,1,243,274,274,274,274,274,274,274,274,525,274,274,259,274,13,19
445,19,3,2,313,-5,-4,-4,313,313,-4,-4,-4,-4,-4,-4,-4,-5,-4,-5
445,20,3,2,217,217,217,217,217,185,44,57,44,217,217,217,217,217,57,217
445,21,3,2,435,319,276,313,13,13,19,256,13,13,19,19,633,13,166,13
445,22,3,2,276,404,438,225,274,313,37,197,313,313,313,379,19,389,277,19
445,23,3,1,888,-4,-5,-5,-5,-5,-5,-5,-5,25,166,-5,-5,-5,-5,-5
445,24,3,1,769,769,-5,159,806,547,889,806,806,-5,806,806,805,805,805,-5
445,25,3,2,445,678,208,445,445,445,445,445,445,445,445,446,446,445,445,445
445,26,3,1,276,274,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5
445,27,3,2,23,23,7,229,7,-4,-4,-4,-4,-4,-4,277,277,159,19,337
445,28,3,2,274,435,315,308,7,23,337,19,303,435,435,434,434,434,327,327
445,29,3,2,383,383,7,7,7,7,19,383,7,25,19,7,7,7,7,7
445,30,3,2,313,-5,313,313,389,315,337,-4,-4,-4,-4,-4,-4,-4,-4,-4
445,31,1,1,-4,364,-4,505,689,785,889,356,523,523,523,523,523,-5,523,523
445,32,1,2,313,274,243,274,274,29,37,243,-5,-5,19,243,243,19,-5,-5
445,33,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,877,389,889,888,999,-5,-5
445,34,3,1,514,505,514,514,514,514,14,759,514,514,503,514,375,505,514,19
445,35,3,2,-4,-4,389,385,385,363,796,29,796,888,746,796,796,468,14,-5
445,36,3,1,745,558,777,869,-5,584,573,243,243,243,243,243,-3,554,19,19
445,37,3,2,313,313,389,313,313,313,13,313,313,-4,-4,-4,-4,-4,313,313
445,38,3,2,383,383,383,319,319,23,338,338,338,338,338,338,338,5,305,305
445,39,3,1,437,437,437,433,433,433,19,19,19,433,433,19,19,13,27,19
445,40,3,1,777,637,637,-4,777,889,637,633,637,-4,-4,-4,27,27,27,27
445,41,3,1,424,424,424,449,254,254,269,269,19,243,19,243,19,19,-5,243
445,42,3,1,889,438,453,453,-4,-4,-4,849,567,567,877,883,883,889,549,549
445,43,3,2,435,435,435,435,435,435,276,276,276,435,796,-4,-4,276,276,439
445,44,3,2,375,-4,274,-4,-4,-4,-4,-4,-4,276,387,387,-5,387,-4,-4
445,45,3,1,805,804,804,804,359,359,359,359,359,19,567,869,19,-5,-5,-5
445,46,3,2,313,-4,-4,203,208,203,208,203,203,203,95,95,75,95,95,95
445,47,3,1,637,634,637,769,684,637,689,549,19,637,637,703,703,637,637,508
445,48,3,1,577,5,-5,-5,-5,-5,-5,213,-5,213,-4,-4,-4,-5,-5,-5
445,49,3,2,337,337,337,337,337,337,337,337,337,337,337,337,337,19,19,19
445,50,3,2,315,315,315,347,315,315,315,468,315,315,315,468,468,406,777,777
445,51,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,52,3,1,19,689,65,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,53,1,1,436,-4,453,438,466,189,864,426,-4,-4,-4,-4,-4,-4,-4,277
445,54,3,1,875,804,875,875,804,855,805,844,599,853,777,844,-5,748,585,585
445,55,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,56,3,2,276,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,57,3,2,253,389,375,313,337,5,313,189,187,228,189,19,19,187,187,187
445,58,3,2,164,164,19,19,164,19,19,19,19,19,15,164,164,164,243,243
445,59,3,1,534,359,736,736,736,736,736,736,736,19,379,736,736,736,734,734
445,60,3,1,-5,777,549,549,538,55,235,518,549,259,547,518,518,235,547,549
445,61,3,2,319,389,307,389,19,27,376,426,253,253,307,243,375,23,253,229
445,62,3,2,435,275,637,438,444,315,313,313,313,313,234,234,234,234,234,234
445,63,3,1,883,276,813,229,229,229,-5,-5,-5,-5,-5,19,19,243,19,19
445,64,3,1,308,375,375,469,308,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,65,3,2,313,389,439,335,337,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,66,3,1,365,365,869,357,856,889,567,785,844,-5,856,844,844,844,844,-5
445,67,3,1,274,274,223,-5,-5,5,166,19,255,19,7,7,7,243,-5,-5
445,68,3,2,315,195,153,229,229,184,64,229,166,65,313,159,159,-4,-4,-4
445,69,3,1,175,376,335,277,274,-5,-5,-5,-5,-5,-5,64,64,7,7,7
445,70,3,1,567,567,569,29,877,218,216,877,53,243,243,365,365,274,243,-5
445,71,3,1,274,459,274,274,459,153,6,178,178,178,178,178,-5,178,178,178
445,72,3,2,435,313,337,337,337,337,23,23,23,23,319,23,23,19,379,379
445,73,3,1,459,274,856,498,7,-5,274,256,-5,-5,-5,13,13,154,-5,256
445,74,3,2,313,435,435,435,435,435,435,19,19,185,435,19,165,-5,-5,-5
445,75,3,2,389,389,319,19,197,197,363,19,277,277,19,277,277,277,277,277
445,76,3,1,885,887,805,805,877,804,243,185,185,185,285,805,805,185,185,185
445,77,3,2,459,459,387,128,175,253,375,386,23,253,375,375,375,26,166,19
445,78,3,2,95,447,447,406,229,229,64,64,95,95,95,-4,-4,-4,-4,-4
445,79,3,1,166,869,-4,23,229,25,253,25,255,19,19,7,7,7,25,19
445,80,3,1,804,689,-5,813,-5,-5,-1,263,277,277,277,277,-3,156,157,157
445,81,3,1,-4,-4,-5,274,-4,444,438,464,883,426,274,213,575,575,19,195
445,82,2,1,-5,-5,-5,887,-4,-5,579,-4,-4,-4,-4,-4,364,486,599,-4
445,83,2,1,883,444,365,438,686,679,805,-4,-4,566,889,686,-4,-4,-4,-4
445,84,2,1,453,365,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,769,-4,686
445,85,2,1,514,-4,686,686,686,-5,439,-4,709,-4,-4,-4,-4,-5,-4,786
445,86,2,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,276,276,276,449,449,449,449
445,87,2,1,889,453,-5,558,453,567,869,277,266,364,365,365,-3,439,274,883
445,88,2,1,189,189,189,444,355,355,355,33,337,316,376,276,276,343,339,23
445,89,2,2,313,253,389,376,375,274,375,375,328,375,375,253,253,184,376,253
445,90,3,1,365,339,229,229,229,253,229,229,229,64,64,229,229,64,229,64
445,91,3,2,-4,274,274,-4,389,313,313,313,229,64,64,64,229,65,56,-5
445,92,3,2,274,274,446,446,446,446,446,436,436,436,444,439,276,276,436,436
445,93,3,1,365,276,-4,-4,-4,734,737,436,436,19,19,19,19,19,883,779
445,94,3,1,18,486,235,889,856,486,-5,486,486,19,889,19,558,558,-5,486
445,95,3,2,378,337,23,337,389,-4,323,-4,276,337,379,538,435,337,313,33
445,96,3,2,313,424,243,19,337,19,339,339,337,339,337,389,337,15,15,19
445,97,3,2,347,207,95,95,95,447,95,207,207,207,95,207,207,207,207,207
445,98,3,2,-4,435,435,435,435,435,435,-4,-4,-4,-4,-4,-4,-4,-4,-4
445,99,3,2,313,-5,-5,385,313,307,458,327,274,285,376,274,274,277,313,313
445,100,3,2,446,447,-5,434,435,-4,379,308,313,313,30,19,19,5,5,5
445,101,3,1,56,59,59,59,59,57,19,56,633,56,59,19,19,57,57,-5
445,102,3,2,446,446,274,276,275,313,313,313,37,5,379,308,308,313,5,-5
445,103,3,1,274,276,274,225,229,229,64,213,213,64,525,525,525,64,64,64
445,104,3,2,375,375,375,-5,-5,-5,-5,-5,-5,-5,-5,375,375,375,375,375
445,105,3,2,376,308,424,337,255,386,375,337,254,254,174,254,254,379,379,255
445,106,3,1,357,-4,43,235,229,225,225,225,43,225,79,184,78,76,19,19
445,107,3,1,365,274,274,274,163,27,27,163,174,27,163,27,105,27,27,27
445,108,3,1,365,877,365,365,806,148,23,156,254,365,364,389,178,178,178,178
445,109,3,2,313,308,389,308,375,253,65,344,375,375,375,253,64,64,-5,-5
445,110,3,1,19,19,229,229,338,389,59,64,-3,64,64,308,308,64,55,55
445,111,3,2,389,313,-4,-4,-4,-4,873,-4,-4,-4,406,486,796,447,447,447
445,112,3,2,435,-4,889,418,313,427,365,376,378,23,376,376,468,468,406,-5
445,113,3,1,-4,-4,-4,-4,595,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,114,3,1,704,453,704,777,-5,704,-5,633,637,-5,-5,-5,-5,-5,-5,-5
445,115,3,2,274,276,274,203,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,116,3,2,313,313,444,-5,-5,-5,-5,-5,-5,376,-5,-5,-5,-5,-5,-5
445,117,3,1,644,644,844,777,709,27,637,633,633,756,558,633,633,633,503,503
445,118,3,2,379,434,637,777,784,-5,-5,364,368,888,162,59,33,33,33,-5
445,119,3,1,759,188,486,784,284,658,804,883,804,188,188,188,188,188,188,188
445,120,3,1,444,434,434,434,375,376,254,303,254,254,19,243,254,254,16,16
445,121,3,2,348,276,243,307,389,633,308,229,7,19,339,339,385,339,339,336
445,122,3,1,567,567,567,567,567,869,855,558,869,575,575,575,575,575,554,-5
445,123,3,1,365,365,243,877,-5,223,208,224,48,-5,-5,73,73,-5,-5,-5
445,124,3,2,274,276,435,276,254,253,254,-4,276,323,-4,-4,-4,277,-4,-4
445,125,3,1,276,274,274,558,268,-5,-5,804,567,565,567,567,567,567,809,809
445,126,3,1,19,274,274,274,268,243,243,19,19,843,19,19,19,243,19,274
445,127,3,1,-4,-4,365,883,274,-5,-5,-5,-5,-4,-4,444,-4,-5,-5,-5
445,128,3,2,308,315,375,375,253,343,243,25,23,376,7,19,19,-5,25,25
445,129,3,1,777,208,208,417,417,417,417,337,417,417,413,413,413,413,159,413
445,130,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,131,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,132,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,133,3,2,276,437,348,313,348,348,348,348,348,348,348,348,348,327,327,327
445,134,3,1,575,575,576,575,575,-5,55,19,575,558,558,575,575,555,19,-5
445,135,3,1,804,877,365,364,364,575,869,575,575,19,577,575,575,575,575,575
445,136,3,2,-4,-4,-4,-4,447,447,447,447,447,447,-4,-4,-3,-4,-4,-4
445,137,3,2,218,53,53,225,59,19,19,19,19,869,337,37,15,15,53,53
445,138,3,2,439,435,435,464,175,449,344,435,406,468,337,468,406,468,435,435
445,139,3,1,459,-4,435,23,23,23,437,263,263,19,23,243,-5,-5,19,19
445,140,3,2,156,156,139,156,156,157,313,156,156,144,156,156,156,158,158,158
445,141,3,2,449,785,-4,19,274,405,197,487,159,167,167,379,-4,37,337,7
445,142,3,1,633,19,29,364,-5,-5,869,558,558,558,588,869,804,-5,558,558
445,143,3,2,447,447,447,447,207,-5,-5,-5,-5,95,207,207,207,95,95,-5
445,144,3,2,406,689,689,689,689,689,888,379,434,434,434,-4,-4,-4,-4,-4
445,145,3,1,877,785,437,437,877,889,365,327,805,805,-4,436,436,709,436,444
445,146,3,1,-4,805,-4,-4,-4,-5,-4,-4,-4,-4,-4,19,525,213,19,213
445,147,3,2,383,313,319,313,313,373,389,25,383,-4,-4,-4,-4,-4,443,443
445,148,3,1,637,345,734,734,734,734,734,734,737,734,734,363,363,734,363,363
445,149,3,2,276,276,783,315,315,229,19,197,7,197,37,386,376,376,64,64
445,150,3,1,799,774,424,424,774,424,19,426,426,774,327,426,415,426,426,426
445,151,3,2,435,199,335,274,243,274,274,274,274,274,274,243,274,274,-5,-5
445,152,3,2,319,375,68,229,229,64,64,229,19,243,64,64,19,19,64,64
445,153,3,2,-5,-5,-5,276,435,435,435,23,379,337,379,253,385,303,243,376
445,154,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,155,3,1,777,734,364,734,453,424,785,805,804,804,804,804,804,594,804,804
445,156,3,1,567,567,579,567,567,-5,-5,-5,567,567,558,19,19,-5,-5,19
445,157,3,2,435,313,313,313,313,313,7,435,443,443,435,-4,159,-5,156,-5
445,158,3,2,253,253,253,386,435,343,365,56,66,435,435,435,435,19,435,164
445,159,3,2,435,433,23,23,23,23,7,23,23,7,23,23,23,7,7,7
445,160,3,2,335,313,307,444,444,444,344,379,7,338,338,386,337,37,33,33
445,161,3,2,777,777,777,777,338,338,338,338,338,338,338,337,338,338,338,338
445,162,3,1,274,877,19,19,243,243,19,19,19,19,19,243,243,243,19,27
445,163,3,1,264,389,365,19,194,189,774,189,774,213,235,-5,-5,-5,-5,-5
445,164,3,2,748,-5,-5,435,435,435,435,435,435,435,435,435,435,435,-5,435
445,165,3,2,375,253,375,385,375,25,375,253,376,25,253,378,468,468,468,468
445,166,3,1,877,365,365,523,19,523,216,376,55,55,59,55,55,55,55,55
445,167,3,2,435,365,364,438,-4,25,25,308,283,357,808,808,808,808,-3,-3
445,168,2,1,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,169,2,2,-5,438,-4,-4,-5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,170,3,2,458,469,469,458,458,469,469,469,458,469,337,469,469,458,458,458
445,171,3,1,453,453,453,453,453,453,453,259,59,57,55,59,59,59,59,59
445,172,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
445,173,3,1,-5,348,348,243,16,-5,19,435,19,-5,-5,-5,-5,-5,-5,-5
445,174,1,2,375,375,375,308,389,253,253,253,253,253,253,253,375,253,253,253
445,175,3,2,19,274,274,274,435,-5,-5,159,469,469,159,105,277,243,-5,-5
445,176,3,2,435,446,163,155,796,19,254,25,255,255,255,-4,-5,-5,-5,-5
445,177,3,1,434,434,769,869,274,19,263,263,7,7,243,19,-5,-5,19,-5
445,178,3,1,13,274,274,567,595,869,869,869,19,19,869,19,23,23,23,23
445,179,3,2,339,315,339,276,275,315,439,444,444,365,379,338,318,318,313,313
445,180,3,2,378,338,-4,-4,256,303,37,23,313,37,23,337,7,19,23,23
445,181,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,19,19
445,182,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,183,3,2,348,348,348,348,348,348,348,-4,-4,-4,-4,-4,-4,-4,274,274
445,184,3,2,189,774,774,774,736,188,188,197,188,19,-4,255,255,259,313,-4
445,185,3,1,885,877,529,567,547,407,486,777,738,777,485,486,486,486,486,569
445,186,3,2,435,435,329,19,19,229,309,55,7,19,19,33,33,19,19,19
445,187,3,1,877,365,435,274,637,567,814,446,106,203,208,106,208,-5,-5,-5
445,188,3,2,453,449,453,-5,449,-4,-4,-4,-4,447,405,453,449,449,748,459
445,189,3,1,365,274,365,274,337,308,389,213,229,213,64,379,64,64,64,64
445,190,3,2,164,329,23,375,375,19,19,154,23,25,23,-4,-4,-4,376,23
445,191,3,1,444,438,437,434,434,253,178,178,178,178,178,178,178,178,178,178
445,192,3,2,235,773,773,774,253,375,253,375,375,375,375,376,375,375,375,375
445,193,3,1,55,55,55,185,185,55,55,55,55,55,55,217,217,55,55,55
445,194,3,1,468,364,359,274,274,23,23,23,7,23,23,-5,-5,-5,19,19
445,195,3,1,-4,55,59,159,59,547,258,55,259,259,274,19,19,13,19,19
445,196,3,1,-4,437,437,877,547,55,55,55,55,229,55,55,55,55,19,64
445,197,3,2,389,308,805,319,337,313,313,313,315,-4,-4,-4,-4,-4,435,243
445,198,3,1,777,437,437,437,437,437,436,436,436,436,-5,433,436,436,436,19
445,199,3,1,453,453,696,453,453,453,579,579,-5,234,434,434,434,434,19,19
445,200,3,2,368,276,-4,-4,-4,-4,-4,-4,389,389,435,435,435,435,435,435
445,201,3,1,-4,386,337,7,7,19,25,255,255,255,7,255,255,19,25,-5
445,202,3,1,188,274,274,-5,-5,435,804,467,167,163,19,174,19,19,19,19
445,203,1,2,796,275,637,-5,-5,-5,-5,-5,356,354,354,354,354,-5,-5,-5
445,204,1,2,-5,-4,-5,-5,-5,-4,-4,-4,456,458,458,458,458,458,458,458
445,205,1,2,389,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
445,206,3,1,19,243,-5,-5,595,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,595
445,207,3,1,438,274,805,587,587,585,486,585,585,585,585,889,585,585,889,275
445,208,3,2,-4,-4,-4,-4,-4,-5,-4,-4,379,356,-4,-4,-4,406,-4,-5
445,209,3,1,434,434,434,433,433,18,19,19,19,434,809,809,809,809,809,809
445,210,3,1,444,439,439,274,806,806,274,259,259,274,259,259,259,259,-5,243
445,211,3,2,276,276,337,337,337,389,389,363,33,633,19,37,37,363,-4,-4
445,212,3,1,689,689,363,689,689,774,699,689,364,33,389,36,-3,259,259,259
445,213,3,1,433,225,44,363,243,19,256,13,65,197,13,199,199,469,469,254
445,214,3,1,436,785,505,689,796,796,689,-3,505,434,434,434,434,225,633,633
445,215,3,1,575,575,577,575,575,575,575,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,216,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,379,379,-5,-5,-5
445,217,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,218,3,1,337,23,23,316,7,7,7,19,25,25,25,25,25,7,7,7
445,219,3,2,156,156,156,157,156,156,19,155,156,144,155,155,155,155,156,156
445,220,3,2,337,153,128,157,157,159,157,157,213,376,64,229,229,27,8,8
445,221,2,2,159,468,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,379,206,379
445,222,2,1,-4,-4,438,-4,888,453,453,453,668,869,426,588,426,426,-4,-4
445,223,2,1,274,437,444,275,438,444,433,243,19,243,19,19,19,19,243,243
445,224,2,2,-4,-4,-4,-5,-4,276,433,-4,446,447,447,447,447,447,467,467
445,225,1,1,453,453,453,453,453,453,357,356,356,356,357,379,379,-5,-5,-5
445,226,1,1,-4,-4,-4,-4,523,449,365,453,-4,-4,-4,-4,-5,-5,-5,-5
445,227,2,2,-4,-4,-4,-4,888,739,739,805,739,-4,-4,-4,-4,889,-4,453
445,228,1,2,435,437,439,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,436,-4,-4
445,229,3,2,438,276,438,424,313,378,709,435,378,276,-4,-4,-4,435,283,754
445,230,3,1,434,-4,-4,235,426,364,186,383,25,376,25,376,19,19,25,255
445,231,3,2,313,313,313,313,315,313,347,379,379,-4,-4,385,385,-4,379,379
445,232,3,1,-4,479,479,479,479,479,477,479,475,473,474,473,473,453,453,453
445,233,3,1,434,869,579,486,869,869,783,869,567,567,364,889,889,889,889,889
445,234,3,1,453,194,-4,276,885,243,19,-5,808,274,436,433,433,19,-5,19
445,235,3,1,885,885,885,885,885,885,418,227,414,418,418,418,418,418,418,418
445,236,3,2,888,877,588,558,19,243,19,633,633,56,363,363,363,33,33,33
445,237,3,2,-4,364,284,389,254,256,283,195,-4,-4,319,-4,-4,-4,-4,-4
445,238,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,239,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
445,240,3,2,437,444,437,437,436,437,266,283,19,277,19,274,283,277,277,277
445,241,3,1,579,479,856,869,856,856,889,507,-5,-5,-5,-5,-5,-5,-5,-5
445,242,3,2,777,777,547,709,274,19,243,316,378,337,308,383,383,25,25,25
445,243,3,1,5,19,18,19,19,19,36,36,19,19,37,19,19,19,19,19
445,244,3,2,406,405,468,406,877,19,335,344,343,389,25,319,379,25,443,443
445,245,3,2,453,204,204,204,204,85,204,204,204,204,204,204,204,204,204,204
445,246,3,1,486,486,889,243,274,243,285,23,243,19,19,274,274,19,-5,-5
445,247,3,1,805,435,437,276,274,453,177,176,177,313,176,177,176,176,176,176
445,248,3,1,-4,777,889,579,769,579,687,486,485,486,486,485,486,486,376,496
445,249,3,2,436,-4,-4,-4,-4,-4,-4,274,276,208,97,97,446,208,208,274
445,250,3,2,-5,-5,-5,-5,-5,-5,337,277,277,277,-4,-4,444,-4,-4,-4
445,251,3,1,359,359,-4,-4,-4,335,-5,-4,-4,-4,-4,-4,-4,-4,-5,-3
445,252,3,2,435,437,437,437,444,434,434,434,435,356,356,-4,-4,-4,-4,313
445,253,3,1,-4,-4,-4,-4,-4,865,567,869,567,567,567,869,356,453,453,453
445,254,3,2,365,446,405,383,888,799,754,888,755,779,8,779,754,754,796,796
445,255,3,2,383,276,19,19,243,243,37,243,243,243,243,243,243,243,313,-4
445,256,3,2,-4,274,383,319,316,313,19,319,379,19,23,319,313,447,19,19
445,257,3,1,439,437,-5,-5,-5,-5,435,435,434,434,434,435,434,436,436,435
445,258,3,2,277,438,405,19,405,406,-4,-4,319,313,277,255,255,15,7,19
445,259,3,1,637,637,804,804,558,804,268,268,274,276,257,274,785,243,633,13
445,260,3,1,799,55,55,235,689,518,797,213,526,235,235,235,235,213,216,216
445,261,3,1,365,365,243,877,229,23,64,64,64,229,64,229,229,229,229,229
445,262,3,2,313,313,313,313,313,313,313,-5,313,313,313,313,313,313,379,-5
445,263,3,1,723,723,649,363,547,889,285,804,806,805,806,-5,-5,-5,-5,-5
445,264,3,2,313,313,23,385,-5,313,313,194,26,379,379,313,303,15,185,-5
445,265,3,2,-4,223,199,444,235,78,208,224,53,216,216,-4,-4,-4,-4,-4
445,266,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,267,3,1,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,268,3,1,453,453,514,777,503,523,728,576,576,576,575,575,576,576,486,-5
445,269,3,1,23,23,23,23,23,23,23,23,23,23,19,23,23,23,23,23
445,270,3,1,877,453,585,585,869,218,-5,-5,-5,-5,804,804,804,804,599,-5
445,271,3,2,405,316,356,444,435,444,158,387,387,144,156,-5,156,156,156,-5
445,272,3,2,318,405,339,274,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
445,273,3,1,434,435,435,19,433,435,19,19,435,19,37,19,19,19,469,469
445,274,3,1,595,529,527,805,424,453,213,516,575,533,575,575,575,547,575,575
445,275,3,2,276,347,375,376,7,23,19,225,25,375,19,253,253,375,375,-4
445,276,3,2,435,435,435,435,275,434,434,434,434,434,434,434,434,434,339,339
445,277,3,1,435,433,307,435,444,458,458,458,458,458,458,458,458,456,458,458
445,278,3,2,435,435,435,435,435,435,435,435,435,435,435,435,468,468,435,-4
445,279,3,1,547,547,889,558,243,243,364,19,19,19,19,243,243,19,243,243
445,280,3,2,435,383,734,188,197,153,195,-5,-5,-5,184,13,13,-5,-5,-5
445,281,3,1,453,453,376,7,313,19,19,529,19,64,37,303,243,243,19,19
445,282,3,2,313,276,276,389,558,313,363,365,378,378,339,-4,-4,379,274,285
445,283,1,1,424,424,469,804,424,424,424,424,424,424,424,424,424,424,424,424
445,284,1,1,759,-4,-4,534,229,235,213,516,213,213,213,19,706,706,706,575
445,285,1,2,243,365,19,243,877,243,19,243,365,877,243,243,243,243,243,243
445,286,1,2,-4,313,459,447,447,447,447,207,207,207,207,207,207,95,95,95
445,287,3,2,-4,777,887,208,785,795,327,889,785,877,785,889,889,889,889,889
445,288,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,706,706
445,289,3,2,453,-4,-4,-4,-4,-4,-4,-4,-4,-4,777,889,877,748,748,748
445,290,1,2,-4,-4,-4,-4,-4,-4,-4,-4,468,387,387,468,468,449,449,448
445,291,2,1,563,459,453,459,869,-4,-4,486,453,486,795,889,889,407,889,889
445,292,3,2,156,156,138,19,274,29,156,156,156,-4,156,159,-4,155,156,156
445,293,3,2,799,689,689,689,689,376,64,264,235,308,796,243,243,259,156,156
445,294,3,2,313,337,315,-5,-5,-5,313,-4,-4,-5,-5,-5,-5,-5,-5,-5
445,295,3,1,-4,-4,514,498,364,637,588,869,-5,889,588,-5,-5,-5,-5,-5
445,296,3,1,637,567,637,-5,-5,637,637,637,637,503,637,777,777,637,558,637
445,297,3,2,403,453,405,405,453,407,448,19,453,407,453,407,407,407,407,407
445,298,1,2,-4,315,276,356,385,308,337,-5,313,313,313,313,313,313,379,313
445,299,1,1,-4,734,364,877,877,877,777,785,758,769,488,-4,777,547,-5,547
445,300,1,1,-4,-4,-4,-4,-4,-5,-4,-5,-4,-4,-5,-4,-4,-5,-5,274
445,301,1,1,-4,-4,-4,-4,813,276,19,19,803,19,303,19,19,19,418,418
445,302,1,1,274,888,888,813,813,889,889,813,813,813,303,19,426,426,813,813
445,303,1,1,-4,-4,-4,-4,439,439,888,888,364,888,888,856,347,347,859,859
445,304,1,1,-4,-4,-4,-4,-4,-4,486,486,-4,-4,-4,-4,-4,-4,364,364
445,305,1,2,744,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,433
445,306,2,1,365,796,453,877,769,558,89,447,424,447,447,446,446,447,453,453
445,307,3,2,774,774,774,774,774,774,774,774,774,774,774,774,774,856,276,276
445,308,3,1,774,804,365,805,877,889,855,-5,567,567,567,595,567,567,567,567
445,309,3,1,783,544,783,585,783,783,783,558,633,503,783,783,783,783,783,783
445,310,3,1,579,579,579,579,579,579,579,579,19,579,579,579,579,579,579,579
