20,20,2,20,2,2,20,20,2,20,2,20,20,20,20,20
23,23,23,23,23,20,20,20,20,20,20,20,2,2,18,18
31,26,26,26,20,1,1,19,1,25,1,1,25,1,26,26
2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
23,23,27,1,1,1,1,23,1,23,1,23,23,23,1,1
21,23,22,20,20,2,20,2,2,2,2,2,31,2,2,2
20,20,18,20,15,20,20,20,20,20,20,20,20,20,20,20
19,1,2,31,31,27,27,27,29,27,27,31,27,27,27,1
19,19,19,19,19,19,19,19,19,26,19,19,19,19,1,1
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
18,18,18,18,18,16,4,4,4,18,18,18,18,18,4,18
23,20,19,20,1,1,1,19,1,1,1,1,29,1,13,1
19,21,23,18,19,20,2,16,20,20,20,20,1,20,19,1
23,29,17,23,23,23,23,23,23,23,23,23,23,23,23,23
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,23,20,20,1,2,20,1,20,23,23,23,23,23,20,20
20,20,1,1,1,1,1,20,1,2,1,1,1,1,1,1
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
26,26,26,26,26,26,1,31,26,26,25,26,20,26,26,1
20,20,20,20,31,2,31,31,31,31,31,23,1,1,,
20,20,20,20,20,20,1,20,20,20,20,20,20,20,20,20
20,20,20,20,20,2,20,20,20,20,20,20,20,1,20,20
23,23,23,23,23,23,1,1,1,23,23,1,1,1,2,1
31,31,31,31,20,20,20,20,20,1,27,31,1,1,1,1
29,29,29,31,29,29,29,26,1,29,29,30,30,29,29,26
20,20,20,20,20,20,20,20,20,20,20,20,20,1,1,1
20,20,20,20,20,20,20,23,20,20,20,23,23,21,31,31
1,29,5,1,1,1,1,1,1,1,1,1,1,1,1,1
31,31,31,31,31,31,31,31,27,31,31,31,31,31,27,27
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,20,20,20,20,1,20,16,16,18,16,1,1,16,16,16
12,12,1,1,12,1,1,1,1,1,1,12,12,12,19,19
26,20,30,30,30,30,30,30,30,1,20,30,30,30,30,30
31,26,26,26,4,18,26,26,19,26,26,26,18,26,26,
20,20,20,20,1,2,20,22,19,19,20,19,20,2,19,18
23,19,29,23,23,20,20,20,20,20,18,18,18,18,18,18
20,20,20,23,20,20,20,20,20,20,20,20,20,20,20,20
20,20,23,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,31,20,31,31,27,31,31,31,31,31,31,31,31,31
20,16,10,18,18,16,5,18,13,5,20,11,11,11,11,11
27,27,27,2,31,18,18,31,4,19,19,20,20,19,19,19
19,23,19,19,23,10,1,15,15,15,15,15,15,15,15,15
23,20,20,20,20,20,2,2,2,2,20,2,2,1,20,20
20,23,23,23,23,23,23,1,1,16,23,1,12,12,12,12
20,20,20,1,16,16,20,1,19,19,1,19,19,19,19,19
31,31,31,31,31,31,19,16,16,16,19,31,31,16,16,16
23,23,20,10,14,19,20,20,2,19,20,20,20,2,13,1
8,23,23,21,18,18,5,5,8,8,8,8,8,8,8,8
19,19,19,23,23,23,23,,,,,,,,,
16,16,16,23,20,20,20,2,20,20,20,19,19,20,20,2
20,19,20,20,20,19,20,20,20,20,20,19,19,16,20,19
20,20,18,18,18,19,18,18,18,5,5,18,18,5,18,5
19,19,23,23,23,23,23,23,23,23,23,23,19,19,23,23
20,22,19,1,20,1,20,20,20,20,20,20,20,1,1,1
20,17,8,8,8,23,8,17,17,17,8,17,17,17,17,17
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
20,20,20,20,20,20,23,20,19,19,20,19,19,19,20,20
4,4,4,4,4,4,1,4,29,4,4,1,1,4,4,4
23,23,19,19,19,20,20,20,2,1,20,20,20,20,1,1
19,19,19,18,18,18,5,18,18,5,26,26,26,5,5,5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,22,20,19,20,20,20,19,19,14,19,19,20,20,19
20,19,19,19,11,2,2,11,14,2,11,2,9,2,2,2
20,31,20,20,31,10,2,11,19,20,20,20,15,15,15,15
20,20,20,20,20,19,5,20,20,20,20,19,5,5,5,5
1,1,18,18,20,20,4,5,5,5,5,20,20,5,4,4
27,27,27,27,27,27,27,27,27,27,27,27,,,,
19,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17
29,29,31,31,30,2,29,29,29,31,27,29,29,29,25,25
31,16,24,31,19,29,31,31,31,16,16,16,16,16,16,16
23,23,23,23,20,20,19,20,19,19,1,19,19,19,1,1
20,19,19,20,20,29,20,18,1,1,20,20,20,20,20,20
27,27,27,27,27,31,31,27,31,27,27,27,27,27,27,27
1,19,19,19,19,19,19,1,1,31,1,1,1,19,1,19
31,17,17,22,22,22,22,20,22,22,22,22,22,22,11,22
19,23,20,20,20,20,20,20,20,20,20,20,20,20,20,20
31,31,20,20,20,27,31,27,27,1,27,27,27,27,27,27
23,23,23,23,23,23,23,23,23,23,23,23,,,,
18,4,4,18,4,1,1,1,1,31,20,2,1,1,4,4
23,23,23,23,14,23,20,23,21,23,20,23,21,23,23,23
11,11,10,11,11,11,20,11,11,10,11,11,11,11,11,11
21,29,29,29,29,29,31,20,23,23,23,23,23,23,23,23
29,20,30,30,30,30,30,30,30,30,30,20,20,30,20,20
19,19,31,20,20,18,1,16,1,16,2,20,20,20,5,5
31,31,22,22,31,22,1,22,22,31,20,22,22,22,22,22
23,16,20,19,19,19,19,19,19,19,19,19,19,19,19,19
20,20,5,18,18,5,5,18,1,19,5,5,1,1,5,5
19,23,23,23,2,20,20,20,19,20,20,19,20,,,
31,30,20,30,23,22,31,31,31,31,31,31,31,27,31,31
27,27,27,27,27,27,27,27,27,27,27,1,1,1,1,1
19,19,19,20,23,20,20,4,5,23,23,23,23,1,23,12
23,23,2,2,2,2,1,2,2,1,2,2,2,1,1,1
20,20,20,23,23,23,20,20,1,20,20,20,20,2,2,2
31,31,31,31,20,20,20,20,20,20,20,20,20,20,20,20
19,31,1,1,19,19,1,1,1,1,1,19,19,19,1,2
